,Person Description,Place Code,Customer Order,Additional Features in market,Promotion Name,Store Kind,Store Sales,Store Cost,Gross Weight,Net Weight,Is Recyclable?,Min. Person Yearly Income,Store Area,Grocery Area,Frozen Area,Meat Area,Cost
mc_ID_27,"Married Female with four children, education: high school degree working as skilled manual",S01em_OR,"Frozen Desserts from Frozen Foods department, Ordered Brand : Golden","['Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Video Store']",Lottery Cash Registerion,Deluxe,3.39 M,1.2543 M,13.5911,10.6839,no,30K+,2574.27,1734,503.07,,313.0678
mc_ID_28,"Single Female with three children, education: high school degree working as manual",B06ls_CA,"Paper Products from Household department, Ordered Brand : Denny","['Video Store', 'Florist', 'Coffee Bar', 'Ready Food', 'Bar For Salad']",Two for One,Gourmet,15.8 M,6.636 M,12.9951,10.0734,yes,30K+,2205.15,1426.09,465.54,,360.7131
mc_ID_29,"Single Female with No children, education: high school degree working as manual",L05es_CA,"Meat from Deli department, Ordered Brand : Moms",['Florist'],Pick Your Savings,Supermarket,5.5 M,2.2 M,19.1874,16.1349,yes,30K+,2192.32,1320.15,525.32,350.51,769.6991
mc_ID_30,"Single Male with five children, education: bachelors degree working as management",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",GLD,Deluxe,9.36 M,2.808 M,,13.3585,no,150K+,2865.97,1871.16,593.93,,484.1411
mc_ID_31,"Single Female with two children, education: graduate degree working as professional",O09ba_VE,"Meat from Deli department, Ordered Brand : American","['Ready Food', 'Bar For Salad']",Big Time Discounts,Supermarket,5.52 M,2.7048 M,10.8874,9.4193,yes,70K+,3235.25,2448.37,470.27,312.91,501.9754
mc_ID_32,"Single Female with three children, education: bachelors degree working as management",P07nd_OR,"Magazines from Periodicals department, Ordered Brand : Gauss",[],Super Wallet Savers,,2.49 M,1.2201 M,22.8214,,yes,30K+,1885.88,1508,227.8,151.9,733.1937
mc_ID_33,"Single Female with one child, education: bachelors degree working as professional",B06ls_CA,"Vegetables from Produce department, Ordered Brand : Tri-State","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist', 'Video Store']",Two Day Sale,Gourmet,1.1 M,0.396 M,27.909,25.0018,no,70K+,2200.69,1424.85,465.54,310.3,588.4796
mc_ID_34,"Single Female with two children, education: high school degree working as professional",S01em_OR,"Starchy Foods from Starchy Foods department, Ordered Brand : Monarch","['Video Store', 'Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Price Slashers,Deluxe,5.8 M,2.784 M,11.9195,7.5441,yes,110K+,2572.86,1734.5,,335.38,282.9953
mc_ID_35,"Married Male with one child, education: high school degree working as manual",S03le_WA,"Cleaning Supplies from Household department, Ordered Brand : Cormorant",['Coffee Bar'],Two Day Sale,Supermarket,5.76 M,2.4192 M,28.4904,24.1296,no,30K+,1970.94,1235.13,440.92,293.95,477.3944
mc_ID_36,"Single Male with two children, education: high school degree working as manual",S18co_CA,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",['Coffee Bar'],Price Cutters,Small Grocery,1.79 M,0.716 M,27.0368,24.1296,yes,30K+,2088.83,,398.93,266.75,700.7677
mc_ID_37,"Single Male with one child, education: high school degree working as manual",S01em_OR,"Fruit from Produce department, Ordered Brand : Tell Tale","['Bar For Salad', 'Florist', 'Video Store', 'Ready Food', 'Coffee Bar']",I Cant Believe It Sale,Deluxe,2.04 M,0.7344 M,30.5255,27.6183,no,30K+,2572.86,1737.26,503.07,,363.3281
mc_ID_38,"Married Male with two children, education: partial high school working as manual",L05es_CA,"Magazines from Periodicals department, Ordered Brand : Gauss",['Florist'],Save It (Sale),Supermarket,10.83 M,4.2237 M,22.676,19.7689,no,10K+,2188.23,1319.2,525.32,348.06,427.7617
mc_ID_39,"Married Female with four children, education: bachelors degree working as professional",M10da_YU,"Side Dishes from Deli department, Ordered Brand : Red Spade","['Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist']",Money Savers,Deluxe,2.91 M,1.4259 M,12.8352,,no,70K+,,1871.16,593.93,396.34,343.611
mc_ID_40,"Single Male with three children, education: high school degree working as skilled manual",T02ma_WA,"Cleaning Supplies from Household department, Ordered Brand : High Quality","['Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Price Winners,Deluxe,8.73 M,3.6666 M,13.8237,10.9165,no,30K+,3149.22,2055.29,654.13,436.09,494.9149
mc_ID_41,"Single Male with four children, education: bachelors degree working as professional",S03le_WA,"Canned Soup from Canned Foods department, Ordered Brand : Better",['Coffee Bar'],Price Slashers,Supermarket,2.28 M,0.8436 M,24.5657,21.5132,yes,110K+,1970.94,1236.07,440.92,294.24,525.3012
mc_ID_42,"Single Male with No children, education: bachelors degree working as management",S03le_WA,"Hardware from Household department, Ordered Brand : Sunset",['Coffee Bar'],Shelf Clearing Days,Supermarket,5.49 M,1.7019 M,28.4904,25.5832,yes,50K+,1970.97,1236.07,440.92,293.95,521.7971
mc_ID_43,"Married Male with two children, education: partial high school working as manual",L05es_CA,"Cold Remedies from Health and Hygiene department, Ordered Brand : Steady",['Florist'],Price Winners,Supermarket,2.01 M,0.9045 M,27.909,25.0018,yes,10K+,2194.41,1320.15,,348.85,640.7273
mc_ID_44,"Single Male with four children, education: high school degree working as manual",O09ba_VE,"Starchy Foods from Starchy Foods department, Ordered Brand : Shady Lake","['Bar For Salad', 'Ready Food']",Save Price,Supermarket,2.1 M,0.882 M,27.0368,24.1296,yes,30K+,3232.19,2448.37,470.27,313.59,406.4756
mc_ID_45,"Single Male with three children, education: graduate degree working as professional",S03le_WA,"Candy from Snacks department, Ordered Brand : Atomic",['Coffee Bar'],Shelf Clearing Days,Supermarket,8.64 M,2.6784 M,25.4379,22.5307,no,70K+,1968.89,1236.07,440.92,293.95,521.7971
mc_ID_46,"Married Female with one child, education: partial high school working as manual",B06ls_CA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Ready Food', 'Coffee Bar', 'Florist', 'Video Store', 'Bar For Salad']",Discount Frenzy,Gourmet,2.84 M,1.3348 M,10.6258,7.704,yes,50K+,2197.21,1424.85,465.54,311.15,555.2168
mc_ID_47,"Married Male with No children, education: partial high school working as skilled manual",H11go_ZA,"Pure Juice Beverages from Beverages department, Ordered Brand : Skinner","['Video Store', 'Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Dimes Off,Deluxe,6.48 M,3.1752 M,13.3294,11.8759,no,10K+,2840.94,2038.11,481.98,321.26,602.7575
mc_ID_48,"Single Male with four children, education: partial high school working as skilled manual",C15ho_ZA,"Drinks from Beverages department, Ordered Brand : Fabulous","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist']",Price Cutters,Gourmet,7.53 M,3.3885 M,,12.5009,yes,10K+,2210.99,1564.86,385.45,256.26,729.2712
mc_ID_49,"Single Male with two children, education: partial high school working as skilled manual",S01em_OR,"Fruit from Produce department, Ordered Brand : Tell Tale","['Florist', 'Video Store', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Lottery Cash Registerion,Deluxe,8.4 M,2.772 M,10.5822,9.1286,yes,50K+,2572.86,1736.1,503.07,335.31,500.9294
mc_ID_50,"Single Female with one child, education: high school degree working as skilled manual",T02ma_WA,"Electrical from Household department, Ordered Brand : Red Wing","['Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Discount Frenzy,,11.07 M,4.8708 M,14.972,,yes,30K+,3144.47,2055.29,654.13,436.09,779.6884
mc_ID_51,"Single Female with one child, education: high school degree working as manual",M10da_YU,"Fruit from Produce department, Ordered Brand : Tell Tale","['Bar For Salad', 'Coffee Bar', 'Ready Food', 'Florist', 'Video Store']",GLD,Deluxe,7.36 M,2.4288 M,19.7689,16.8617,yes,30K+,,,593.93,394.01,484.1411
mc_ID_52,"Married Male with three children, education: partial high school working as manual",M10da_YU,"Baking Goods from Baking Goods department, Ordered Brand : BBB Best","['Bar For Salad', 'Florist', 'Ready Food', 'Video Store', 'Coffee Bar']",Sale Winners,Deluxe,1.89 M,0.8883 M,11.2217,,no,10K+,2864.49,1871.16,593.93,395.95,519.7574
mc_ID_53,"Married Female with four children, education: partial high school working as skilled manual",L05es_CA,"Vegetables from Produce department, Ordered Brand : Ebony",['Florist'],Shelf Emptiers,Supermarket,2.28 M,0.7524 M,31.543,28.6358,yes,10K+,2192.32,,523.32,348.85,564.2647
mc_ID_54,"Married Male with one child, education: partial college working as clerical",B06ls_CA,"Frozen Desserts from Frozen Foods department, Ordered Brand : PigTail","['Bar For Salad', 'Video Store', 'Florist', 'Coffee Bar', 'Ready Food']",Roller Savings (High) ,Gourmet,4.88 M,2.3912 M,18.3153,15.4081,no,10K+,2200.69,1425.82,465.54,310.3,499.7265
mc_ID_55,"Married Female with three children, education: partial high school working as skilled manual",T02ma_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Hilltop","['Ready Food', 'Florist', 'Coffee Bar', 'Bar For Salad']",Discount Frenzy,,18.0 M,6.12 M,12.748,,yes,10K+,3143.61,2055.29,654.13,436.09,779.6884
mc_ID_56,"Married Female with one child, education: high school degree working as skilled manual",S03le_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : Landslide",['Coffee Bar'],Double Your Savings,Supermarket,7.14 M,2.6418 M,16.8617,15.4081,yes,30K+,1966.16,1236.07,442.92,293.16,493.8689
mc_ID_57,"Single Male with one child, education: partial college working as professional",H11go_ZA,"Meat from Frozen Foods department, Ordered Brand : Imagine","['Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist']",Dimes Off,,3.9 M,1.911 M,24.1296,,yes,30K+,2840.51,,481.98,321.26,602.7575
mc_ID_58,"Single Female with three children, education: partial high school working as manual",C15ho_ZA,"Vegetables from Frozen Foods department, Ordered Brand : PigTail","['Bar For Salad', 'Ready Food', 'Florist', 'Coffee Bar']",Saving Days,Gourmet,14.8 M,4.736 M,18.4606,16.8617,yes,10K+,2203.74,1564.86,385.45,256.97,474.0995
mc_ID_59,"Married Female with three children, education: graduate degree working as professional",S04ne_WA,"Plastic Products from Household department, Ordered Brand : Sunset",[],Super Savers,Supermarket,4.52 M,1.7176 M,31.543,28.6358,yes,90K+,2811.99,2049.72,,304.91,339.8977
mc_ID_60,"Married Male with three children, education: bachelors degree working as professional",B06ls_CA,"Baking Goods from Baking Goods department, Ordered Brand : Landslide","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food', 'Video Store']",Saving Days,Gourmet,9.44 M,2.9264 M,30.8162,29.3626,yes,50K+,2200.69,1424.85,465.54,310.3,350.9853
mc_ID_61,"Single Female with one child, education: partial high school working as skilled manual",O09ba_VE,"Vegetables from Frozen Foods department, Ordered Brand : Big Time","['Ready Food', 'Bar For Salad']",Wallet Savers,,4.29 M,1.5444 M,13.9109,,yes,50K+,3228.94,2448.37,470.27,311.82,324.8876
mc_ID_62,"Married Female with four children, education: partial high school working as manual",M10da_YU,"Jams and Jellies from Baking Goods department, Ordered Brand : Super","['Coffee Bar', 'Video Store', 'Bar For Salad', 'Florist', 'Ready Food']",Sale Winners,Deluxe,4.36 M,1.8312 M,12.8207,11.3526,no,10K+,2861.13,1869.02,593.93,397.01,519.7574
mc_ID_63,"Married Male with No children, education: high school degree working as skilled manual",B06ls_CA,"Hot Beverages from Beverages department, Ordered Brand : Super","['Video Store', 'Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Two Day Sale,Gourmet,4.11 M,1.9728 M,11.5706,8.6634,no,30K+,2204.5,1427.31,467.54,308.33,588.4796
mc_ID_64,"Married Female with three children, education: high school degree working as manual",C15ho_ZA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Florist', 'Coffee Bar', 'Bar For Salad', 'Ready Food']",Best Price Savers,Gourmet,10.68 M,5.0196 M,23.5482,20.641,no,30K+,2207.28,1562.86,385.45,256.97,558.1979
mc_ID_65,"Single Female with five children, education: partial high school working as skilled manual",L05es_CA,"Snack Foods from Snack Foods department, Ordered Brand : Fast",['Florist'],You Save Days,Supermarket,5.73 M,1.8909 M,10.7711,7.8494,no,10K+,2192.83,1320.15,523.32,,689.3663
mc_ID_66,"Single Female with one child, education: graduate degree working as professional",L05es_CA,"Paper Products from Household department, Ordered Brand : Red Wing",['Florist'],Price Winners,Supermarket,10.68 M,5.0196 M,22.676,21.2225,yes,130K+,2192.32,1317.96,525.32,346.89,640.7273
mc_ID_67,"Single Male with four children, education: high school degree working as skilled manual",P07nd_OR,"Pizza from Frozen Foods department, Ordered Brand : Golden",[],Weekend Discount,Supermarket,3.84 M,1.6512 M,23.8389,20.7864,yes,30K+,1888.73,,227.8,151.9,735.1811
mc_ID_68,"Married Male with three children, education: bachelors degree working as professional",B08am_WA,"Snack Foods from Snack Foods department, Ordered Brand : Horatio",['Coffee Bar'],Wallet Savers,Small Grocery,3.36 M,1.6464 M,13.0969,8.7361,yes,50K+,2616.87,2069.04,330.83,220.55,728.8528
mc_ID_69,"Married Female with three children, education: partial college working as clerical",B06ls_CA,"Vegetables from Produce department, Ordered Brand : Ebony","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist', 'Video Store']",,Gourmet,5.28 M,2.3232 M,,7.675,yes,30K+,2204.49,1424.85,465.54,311.29,783.1925
mc_ID_70,"Married Male with No children, education: partial high school working as professional",L05es_CA,"Vegetables from Produce department, Ordered Brand : Hermanos",['Florist'],Save It (Sale),Supermarket,5.62 M,2.3604 M,15.5534,12.6317,no,110K+,2194.35,,523.32,348.71,427.7617
mc_ID_71,"Single Female with four children, education: high school degree working as manual",S03le_WA,"Canned Soup from Canned Foods department, Ordered Brand : Bravo",['Coffee Bar'],Weekend Discount,Supermarket,9.96 M,4.1832 M,9.3175,7.8494,no,30K+,1970.99,1236.07,,293.95,364.1649
mc_ID_72,"Single Male with four children, education: high school degree working as manual",B06ls_CA,"Specialty from Produce department, Ordered Brand : Ebony","['Florist', 'Ready Food', 'Video Store', 'Bar For Salad', 'Coffee Bar']",Price Cutters,,3.54 M,1.3806 M,30.3801,,yes,30K+,2200.69,1426.41,465.54,312.12,675.716
mc_ID_73,"Single Female with two children, education: partial high school working as skilled manual",T02ma_WA,"Breakfast Foods from Frozen Foods department, Ordered Brand : Carrington","['Ready Food', 'Bar For Salad', 'Florist', 'Coffee Bar']",Promo Big,Deluxe,8.61 M,3.8745 M,19.9142,16.8617,yes,30K+,3141.76,2052.4,654.13,436.09,267.3576
mc_ID_74,"Single Female with one child, education: high school degree working as skilled manual",A17co_GU,"Snack Foods from Snack Foods department, Ordered Brand : Best Choice",[],Price Winners,Supermarket,5.04 M,1.8648 M,29.944,27.0368,yes,30K+,2192,1623.48,341.05,225.99,586.7537
mc_ID_75,"Married Male with one child, education: partial high school working as skilled manual",B06ls_CA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Consolidated","['Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",Best Savings,,7.96 M,3.2636 M,14.5359,,yes,30K+,,1424.85,465.54,310.47,281.4786
mc_ID_76,"Married Female with one child, education: partial college working as professional",T02ma_WA,"Pain Relievers from Health and Hygiene department, Ordered Brand : Hilltop","['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Bag Stuffer,Deluxe,10.8 M,5.184 M,12.748,11.2944,yes,30K+,3145.51,2053.01,654.13,436.09,367.7736
mc_ID_77,"Single Female with five children, education: bachelors degree working as professional",M10da_YU,"Hot Beverages from Beverages department, Ordered Brand : Landslide","['Ready Food', 'Video Store', 'Coffee Bar', 'Bar For Salad', 'Florist']",Sales Days,Deluxe,4.26 M,1.4484 M,21.6585,18.606,no,50K+,2862.2,1871.16,593.93,395.95,608.772
mc_ID_78,"Married Female with one child, education: bachelors degree working as management",P07nd_OR,"Carbonated Beverages from Beverages department, Ordered Brand : Washington",[],,Supermarket,7.28 M,2.7664 M,,13.9545,yes,50K+,,1508,227.8,151.9,720.171
mc_ID_79,"Married Male with one child, education: partial high school working as skilled manual",S03le_WA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Imagine",['Coffee Bar'],Two Day Sale,Supermarket,9.63 M,4.2372 M,12.3119,9.4047,no,30K+,,1236.07,440.92,293.95,477.3944
mc_ID_80,"Single Female with two children, education: partial high school working as skilled manual",P07nd_OR,"Fruit from Produce department, Ordered Brand : Ebony",[],Full Free,Supermarket,5.49 M,2.0313 M,14.2307,11.309,yes,10K+,1891.16,1505.6,227.8,151.52,272.2738
mc_ID_81,"Single Female with four children, education: high school degree working as manual",V13er_BC,"Beer and Wine from Alcoholic Beverages department, Ordered Brand : Top Measure","['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food', 'Video Store']",Price Slashers,Deluxe,2.43 M,1.0692 M,25.1472,23.5482,yes,30K+,2143.18,1525.28,373.1,248.79,403.9652
mc_ID_82,"Single Female with four children, education: high school degree working as skilled manual",B06ls_CA,"Breakfast Foods from Frozen Foods department, Ordered Brand : PigTail","['Video Store', 'Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Sale Sale Sale,Gourmet,2.75 M,1.32 M,23.1121,21.5132,no,30K+,2204.75,1424.85,465.54,309,304.1768
mc_ID_83,"Married Female with two children, education: bachelors degree working as professional",O09ba_VE,"Eggs from Eggs department, Ordered Brand : Blue Medal","['Bar For Salad', 'Ready Food']",Money Savers,Supermarket,6.39 M,3.1311 M,24.7111,21.8039,no,50K+,3228.37,2451.27,470.27,314.09,290.0035
mc_ID_84,"Married Male with one child, education: partial high school working as manual",B06ls_CA,"Hot Beverages from Beverages department, Ordered Brand : BBB Best","['Bar For Salad', 'Coffee Bar', 'Florist', 'Video Store', 'Ready Food']",Sale Sale Sale,Gourmet,8.61 M,3.0996 M,24.8564,21.9493,no,30K+,,1422.95,465.54,310.3,304.1768
mc_ID_85,"Married Female with two children, education: partial high school working as skilled manual",S03le_WA,"Fruit from Produce department, Ordered Brand : Tri-State",['Coffee Bar'],Weekend Discount,Supermarket,7.2 M,3.384 M,19.9142,18.3153,no,10K+,1970.94,1236.07,440.92,295.07,364.1649
mc_ID_86,"Married Male with one child, education: high school degree working as skilled manual",S01em_OR,"Canned Soup from Canned Foods department, Ordered Brand : Bravo","['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Video Store', 'Florist']",Price Slashers,Deluxe,5.1 M,2.142 M,25.0018,20.641,no,30K+,2573.52,1732.39,503.07,335.38,282.9953
mc_ID_87,"Married Female with No children, education: partial high school working as skilled manual",H11go_ZA,"Hot Beverages from Beverages department, Ordered Brand : CDR","['Ready Food', 'Florist', 'Video Store', 'Coffee Bar', 'Bar For Salad']",,Deluxe,8.19 M,3.0303 M,,21.3678,yes,30K+,2837.72,2038.11,481.98,,416.2557
mc_ID_88,"Married Male with three children, education: high school degree working as professional",T02ma_WA,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Bar For Salad', 'Ready Food', 'Coffee Bar', 'Florist']",Price Winners,Deluxe,8.94 M,3.576 M,15.6988,,yes,130K+.,3147.38,2055.29,654.13,436.09,494.9149
mc_ID_89,"Married Male with four children, education: bachelors degree working as professional",S01em_OR,"Hot Beverages from Beverages department, Ordered Brand : CDR","['Bar For Salad', 'Coffee Bar', 'Video Store', 'Ready Food', 'Florist']",I Cant Believe It Sale,Deluxe,5.46 M,1.6926 M,24.275,21.3678,yes,50K+,2572.86,1734.5,503.07,335.38,363.3281
