,Person%20Description,Place%20Code,Customer%20Order,Additional%20Features%20in%20market,Promotion%20Name,Store%20Kind,Store%20Sales,Store%20Cost,Gross%20Weight,Net%20Weight,Weights%20Data,Is%20Recyclable?,Yearly%20Income,Store%20Area,Grocery%20Area,Frozen%20Area,Meat%20Area,Cost
mc_ID_22,"Married Female with one child, education: partial college working as skilled manual",P07nd_OR,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",[],Save Price,Supermarket,10.44 Millions,3.654 Millions,22.24,17.8792,"{'Gross Weight': 22.24, 'Net Weight': 17.8792, 'Package Weight': 4.3608}",yes,30K+,1887.7,1508,227.8,151.9,428.0755
mc_ID_23,"Single Male with one child, education: partial high school working as skilled manual",S04ne_WA,"Canned Soup from Canned Foods department, Ordered Brand : Better",[],,,3.0 Millions,0.96 Millions,12.123,,"{'Gross Weight': 12.123, 'Net Weight': 10.6694, 'Package Weight': 1.4536}",yes,10K+,2807.3,2049.72,457.36,304.91,697.7866
mc_ID_24,"Single Male with four children, education: partial college working as skilled manual",S01em_OR,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Ready Food', 'Video Store', 'Bar For Salad', 'Florist', 'Coffee Bar']",,Deluxe,7.35 Millions,3.234 Millions,13.0097,10.0879,"{'Gross Weight': 13.0097, 'Net Weight': 10.0879, 'Package Weight': 2.9217}",no,30K+,2572.86,1734.5,503.07,335.38,500.9294
mc_ID_25,"Married Female with four children, education: partial high school working as management",H11go_ZA,"Hot Beverages from Beverages department, Ordered Brand : BBB Best",[],Price Destroyers,Mid-Size,5.26 Millions,1.8936 Millions,21.0771,16.7163,"{'Gross Weight': 21.0771, 'Net Weight': 16.7163, 'Package Weight': 4.3608}",yes,110K+,3565.5,,447.7,298.5,728.2775
mc_ID_26,"Married Male with two children, education: high school degree working as skilled manual",T02ma_WA,"Cleaning Supplies from Household department, Ordered Brand : Sunset","['Coffee Bar', 'Bar For Salad', 'Florist', 'Ready Food']",Full Free,Deluxe,5.55 Millions,2.109 Millions,23.8389,20.7864,"{'Gross Weight': 23.8389, 'Net Weight': 20.7864, 'Package Weight': 3.0525}",yes,30K+,3145.51,2053.65,656.13,436.65,288.5914
mc_ID_27,"Married Female with four children, education: bachelors degree working as professional",O09ba_VE,"Cleaning Supplies from Household department, Ordered Brand : Cormorant","['Ready Food', 'Bar For Salad']",Savings Galore,Supermarket,11.43 Millions,4.3434 Millions,23.1121,20.0596,"{'Gross Weight': 23.1121, 'Net Weight': 20.0596, 'Package Weight': 3.0525}",no,70K+,3232.19,2448.37,470.27,,550.1437
mc_ID_28,"Married Male with four children, education: high school degree working as manual",S01em_OR,"Paper Products from Household department, Ordered Brand : High Quality","['Ready Food', 'Video Store', 'Coffee Bar', 'Florist', 'Bar For Salad']",Big Time Saving,Deluxe,13.28 Millions,4.2496 Millions,28.6358,24.275,"{'Gross Weight': 28.6358, 'Net Weight': 24.275, 'Package Weight': 4.3608}",no,30K+,2570.8,1734.5,503.07,335.38,279.5435
mc_ID_29,"Single Male with No children, education: partial high school working as manual",C15ho_ZA,"Fruit from Produce department, Ordered Brand : High Top","['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",GLD,,5.61 Millions,1.7952 Millions,25.1472,22.0946,"{'Gross Weight': 25.1472, 'Net Weight': 22.0946, 'Package Weight': 3.0525}",yes,10K+,2207.28,1564.86,385.45,256.97,396.2248
mc_ID_30,"Married Male with two children, education: bachelors degree working as management",B06ls_CA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Ready Food', 'Coffee Bar', 'Bar For Salad', 'Florist', 'Video Store']",,Gourmet,14.24 Millions,5.8384 Millions,,20.641,"{'Gross Weight': 23.5482, 'Net Weight': 20.641, 'Package Weight': 2.9072}",no,30K+,2200.69,1424.85,465.54,312.01,588.4796
mc_ID_31,"Married Female with three children, education: graduate degree working as professional",P07nd_OR,"Pizza from Frozen Foods department, Ordered Brand : Imagine",[],Weekend Discount,Supermarket,10.8 Millions,4.752 Millions,23.5482,22.0946,"{'Gross Weight': 23.5482, 'Net Weight': 22.0946, 'Package Weight': 1.4536}",yes,90K+,1887.7,1508,227.8,151.9,614.002
mc_ID_32,"Single Male with two children, education: bachelors degree working as professional",B06ls_CA,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Johnson","['Video Store', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",You Save Days,,11.75 Millions,3.525 Millions,30.8162,,"{'Gross Weight': 30.8162, 'Net Weight': 27.909, 'Package Weight': 2.9072}",no,50K+,2200.69,1425.81,465.54,311.28,689.3663
mc_ID_33,"Married Male with three children, education: bachelors degree working as professional",O09ba_VE,"Snack Foods from Snack Foods department, Ordered Brand : Fort West","['Ready Food', 'Bar For Salad']",Best Savings,Supermarket,14.24 Millions,5.696 Millions,23.5482,20.641,"{'Gross Weight': 23.5482, 'Net Weight': 20.641, 'Package Weight': 2.9072}",no,50K+,3232.19,2448.37,470.27,313.55,576.1891
mc_ID_34,"Married Male with three children, education: bachelors degree working as management",M10da_YU,"Dairy from Dairy department, Ordered Brand : Gorilla","['Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar', 'Video Store']",,Deluxe,10.02 Millions,3.3066 Millions,19.3328,14.972,"{'Gross Weight': 19.3328, 'Net Weight': 14.972, 'Package Weight': 4.3608}",yes,70K+,2857.02,1872.7,,395.95,343.611
mc_ID_35,"Married Male with No children, education: partial high school working as skilled manual",H11go_ZA,"Plastic Products from Household department, Ordered Brand : Cormorant","['Video Store', 'Florist', 'Ready Food', 'Bar For Salad', 'Coffee Bar']",Go For It,,4.41 Millions,1.8522 Millions,30.0894,27.1822,"{'Gross Weight': 30.0894, 'Net Weight': 27.1822, 'Package Weight': 2.9072}",no,10K+,2841.35,2038.11,481.98,321.53,455.3761
mc_ID_36,"Married Female with one child, education: high school degree working as skilled manual",S03le_WA,"Paper Products from Household department, Ordered Brand : Cormorant",['Coffee Bar'],Best Price Savers,Supermarket,4.9 Millions,1.568 Millions,8.8815,5.9743,"{'Gross Weight': 8.8815, 'Net Weight': 5.9743, 'Package Weight': 2.9072}",yes,30K+,1970.94,,440.92,293.95,349.2594
mc_ID_37,"Single Male with two children, education: high school degree working as manual",S03le_WA,"Hot Beverages from Beverages department, Ordered Brand : CDR",['Coffee Bar'],Two Day Sale,Supermarket,5.56 Millions,2.3352 Millions,12.748,11.2944,"{'Gross Weight': 12.748, 'Net Weight': 11.2944, 'Package Weight': 1.4536}",no,50K+,1967.74,1236.07,440.92,293.95,477.3944
mc_ID_38,"Married Male with three children, education: partial high school working as manual",A17co_GU,"Dairy from Dairy department, Ordered Brand : Gorilla",[],Two Day Sale,Supermarket,2.67 Millions,1.335 Millions,21.0771,18.1699,"{'Gross Weight': 21.0771, 'Net Weight': 18.1699, 'Package Weight': 2.9072}",no,10K+,2187.48,1622.27,341.05,226.16,383.2021
mc_ID_39,"Married Female with No children, education: bachelors degree working as management",S01em_OR,"Paper Products from Household department, Ordered Brand : Sunset","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Florist', 'Video Store']",Sale : Double Down,,3.5 Millions,1.68 Millions,19.1874,,"{'Gross Weight': 19.1874, 'Net Weight': 16.1349, 'Package Weight': 3.0525}",yes,70K+,,1734.5,503.07,335.1,265.6317
mc_ID_40,"Married Female with two children, education: partial high school working as manual",H11go_ZA,"Vegetables from Produce department, Ordered Brand : Tri-State","['Video Store', 'Coffee Bar', 'Ready Food', 'Florist', 'Bar For Salad']",Tip Top Savings,Deluxe,5.06 Millions,2.4288 Millions,23.1121,20.0596,"{'Gross Weight': 23.1121, 'Net Weight': 20.0596, 'Package Weight': 3.0525}",yes,10K+,2841.35,2036.4,481.98,321.26,416.2557
mc_ID_41,"Married Female with No children, education: bachelors degree working as professional",B06ls_CA,"Canned Shrimp from Canned Foods department, Ordered Brand : Better","['Video Store', 'Ready Food', 'Coffee Bar', 'Florist', 'Bar For Salad']",Pick Your Savings,Gourmet,6.9 Millions,3.174 Millions,12.4282,9.521,"{'Gross Weight': 12.4282, 'Net Weight': 9.521, 'Package Weight': 2.9072}",no,130K+,2199.75,1424.85,467.54,310.3,351.7175
mc_ID_42,"Married Male with three children, education: partial high school working as skilled manual",S01em_OR,"Dairy from Dairy department, Ordered Brand : Carlson","['Coffee Bar', 'Florist', 'Bar For Salad', 'Video Store', 'Ready Food']",Full Free,Deluxe,15.92 Millions,5.2536 Millions,21.5132,18.606,"{'Gross Weight': 21.5132, 'Net Weight': 18.606, 'Package Weight': 2.9072}",no,10K+,2572.86,1734.5,503.07,335.38,752.2309
mc_ID_43,"Married Male with three children, education: high school degree working as manual",B08am_WA,"Breakfast Foods from Frozen Foods department, Ordered Brand : PigTail",['Coffee Bar'],Two Day Sale,Small Grocery,0.58 Millions,0.2726 Millions,20.2049,17.1524,"{'Gross Weight': 20.2049, 'Net Weight': 17.1524, 'Package Weight': 3.0525}",yes,30K+,2623.82,2069.04,330.83,220.55,695.067
mc_ID_44,"Married Female with four children, education: partial high school working as manual",S01em_OR,"Fruit from Produce department, Ordered Brand : High Top","['Ready Food', 'Bar For Salad', 'Video Store', 'Florist', 'Coffee Bar']",Tip Top Savings,Deluxe,2.76 Millions,1.3248 Millions,25.0018,20.641,"{'Gross Weight': 25.0018, 'Net Weight': 20.641, 'Package Weight': 4.3608}",yes,30K+,2572.86,1734.5,503.07,335.38,287.127
mc_ID_45,"Married Female with four children, education: partial high school working as manual",M10da_YU,"Paper Products from Household department, Ordered Brand : Red Wing","['Coffee Bar', 'Florist', 'Bar For Salad', 'Video Store', 'Ready Food']",Money Savers,,3.22 Millions,1.0304 Millions,19.9142,16.8617,"{'Gross Weight': 19.9142, 'Net Weight': 16.8617, 'Package Weight': 3.0525}",yes,30K+,2860.76,1871.16,593.93,397.47,343.611
mc_ID_46,"Single Female with two children, education: partial high school working as skilled manual",B14on_WA,"Pizza from Frozen Foods department, Ordered Brand : Big Time","['Bar For Salad', 'Ready Food']",,Supermarket,3.75 Millions,1.3875 Millions,10.1461,5.7853,"{'Gross Weight': 10.1461, 'Net Weight': 5.7853, 'Package Weight': 4.3608}",yes,10K+,3689.84,2265.9,853.22,566.78,450.8783
mc_ID_47,"Single Female with No children, education: partial high school working as manual",P07nd_OR,"Meat from Deli department, Ordered Brand : Lake",[],Super Wallet Savers,Supermarket,8.82 Millions,3.528 Millions,15.2627,12.3555,"{'Gross Weight': 15.2627, 'Net Weight': 12.3555, 'Package Weight': 2.9072}",yes,30K+,1887.7,1509.49,227.8,151.9,733.1937
mc_ID_48,"Married Female with four children, education: partial high school working as manual",T02ma_WA,"Baking Goods from Baking Goods department, Ordered Brand : Plato","['Coffee Bar', 'Florist', 'Bar For Salad', 'Ready Food']",,Deluxe,5.16 Millions,1.806 Millions,,13.6492,"{'Gross Weight': 16.571, 'Net Weight': 13.6492, 'Package Weight': 2.9217}",no,10K+,3145.51,2055.29,654.13,434.9,364.2695
mc_ID_49,"Single Female with one child, education: bachelors degree working as professional",B08am_WA,"Vegetables from Canned Foods department, Ordered Brand : Bravo",['Coffee Bar'],Coupon Spectacular,Small Grocery,5.18 Millions,2.3828 Millions,13.9981,11.0909,"{'Gross Weight': 13.9981, 'Net Weight': 11.0909, 'Package Weight': 2.9072}",no,50K+,2620.42,2070.91,330.83,220.55,473.7334
mc_ID_50,"Married Male with No children, education: partial high school working as skilled manual",P07nd_OR,"Magazines from Periodicals department, Ordered Brand : Mighty Good",[],Weekend Discount,,4.92 Millions,2.3616 Millions,26.6008,,"{'Gross Weight': 26.6008, 'Net Weight': 25.0018, 'Package Weight': 1.599}",yes,10K+,1888.71,1508.3,227.8,152.37,735.1811
mc_ID_51,"Married Male with three children, education: high school degree working as manual",H11go_ZA,"Hardware from Household department, Ordered Brand : High Quality","['Coffee Bar', 'Florist', 'Bar For Salad', 'Video Store', 'Ready Food']",Price Winners,Deluxe,5.24 Millions,2.4628 Millions,11.1054,8.1837,"{'Gross Weight': 11.1054, 'Net Weight': 8.1837, 'Package Weight': 2.9217}",yes,30K+,2841.35,,481.98,321.26,453.9117
mc_ID_52,"Single Female with No children, education: bachelors degree working as management",P07nd_OR,"Baking Goods from Baking Goods department, Ordered Brand : CDR",[],Best Price Savers,,2.78 Millions,0.8618 Millions,12.6463,,"{'Gross Weight': 12.6463, 'Net Weight': 11.1781, 'Package Weight': 1.4681}",no,70K+,1884.31,1508,227.8,151.9,650.4028
mc_ID_53,"Single Female with five children, education: partial high school working as skilled manual",B06ls_CA,"Frozen Desserts from Frozen Foods department, Ordered Brand : Big Time","['Coffee Bar', 'Bar For Salad', 'Ready Food', 'Video Store', 'Florist']",One Day Sale,Gourmet,4.41 Millions,1.8081 Millions,25.0018,22.0946,"{'Gross Weight': 25.0018, 'Net Weight': 22.0946, 'Package Weight': 2.9072}",no,30K+,2202.42,,465.54,310.3,449.1524
mc_ID_54,"Married Male with No children, education: bachelors degree working as management",T02ma_WA,"Meat from Meat department, Ordered Brand : Gerolli","['Ready Food', 'Bar For Salad', 'Coffee Bar', 'Florist']",,Deluxe,5.36 Millions,2.5192 Millions,28.3451,25.4379,"{'Gross Weight': 28.3451, 'Net Weight': 25.4379, 'Package Weight': 2.9072}",yes,50K+,3145.51,2055.29,654.13,436.09,779.6884
mc_ID_55,"Single Male with one child, education: bachelors degree working as professional",V13er_BC,"Vegetables from Produce department, Ordered Brand : Tri-State","['Video Store', 'Bar For Salad', 'Florist', 'Ready Food', 'Coffee Bar']",Price Slashers,,4.02 Millions,1.4874 Millions,14.972,,"{'Gross Weight': 14.972, 'Net Weight': 12.0648, 'Package Weight': 2.9072}",no,50K+,2147.17,1525.28,373.1,248.79,403.9652
mc_ID_56,"Single Male with three children, education: partial college working as professional",T02ma_WA,"Vegetables from Produce department, Ordered Brand : Tell Tale","['Bar For Salad', 'Coffee Bar', 'Florist', 'Ready Food']",Promo Big,,6.57 Millions,2.7594 Millions,21.0771,18.1699,"{'Gross Weight': 21.0771, 'Net Weight': 18.1699, 'Package Weight': 2.9072}",no,130K+,3142.37,2053.06,654.13,436.09,267.3576
mc_ID_57,"Married Male with two children, education: high school degree working as skilled manual",M10da_YU,"Snack Foods from Snack Foods department, Ordered Brand : Nationeel","['Florist', 'Ready Food', 'Coffee Bar', 'Video Store', 'Bar For Salad']",Sale Winners,,8.82 Millions,3.087 Millions,11.9776,,"{'Gross Weight': 11.9776, 'Net Weight': 9.0559, 'Package Weight': 2.9217}",yes,30K+,2861.13,1871.16,593.93,395.95,519.7574
mc_ID_58,"Single Male with one child, education: high school degree working as manual",S03le_WA,"Snack Foods from Snack Foods department, Ordered Brand : Fort West",['Coffee Bar'],Best Price Savers,Supermarket,1.9 Millions,0.779 Millions,20.0596,18.606,"{'Gross Weight': 20.0596, 'Net Weight': 18.606, 'Package Weight': 1.4536}",yes,30K+,1968.86,1236.07,440.92,293.95,349.2594
mc_ID_59,"Single Female with two children, education: partial high school working as skilled manual",V13er_BC,"Pain Relievers from Health and Hygiene department, Ordered Brand : Bird Call","['Video Store', 'Coffee Bar', 'Ready Food', 'Bar For Salad', 'Florist']",Sale : Double Down,Deluxe,7.14 Millions,3.0702 Millions,27.6183,24.7111,"{'Gross Weight': 27.6183, 'Net Weight': 24.7111, 'Package Weight': 2.9072}",yes,10K+,2144.6,1523.53,,249.89,746.3733
mc_ID_60,"Married Male with five children, education: partial college working as professional",S04ne_WA,"Dairy from Dairy department, Ordered Brand : Gorilla",[],Super Savers,Supermarket,11.72 Millions,5.1568 Millions,30.2347,28.6358,"{'Gross Weight': 30.2347, 'Net Weight': 28.6358, 'Package Weight': 1.599}",yes,30K+,2811.99,2049.72,457.36,305.95,339.8977
mc_ID_61,"Single Male with two children, education: partial college working as skilled manual",P07nd_OR,"Breakfast Foods from Breakfast Foods department, Ordered Brand : Special",[],Best Price Savers,,7.72 Millions,2.4704 Millions,23.4028,,"{'Gross Weight': 23.4028, 'Net Weight': 21.9493, 'Package Weight': 1.4536}",yes,30K+,1889.75,1508,227.8,151.9,650.4028
mc_ID_62,"Single Male with one child, education: high school degree working as professional",T02ma_WA,"Paper Products from Household department, Ordered Brand : Red Wing","['Bar For Salad', 'Florist', 'Coffee Bar', 'Ready Food']",Sale : Double Down,Deluxe,5.0 Millions,2.25 Millions,12.0357,7.6604,"{'Gross Weight': 12.0357, 'Net Weight': 7.6604, 'Package Weight': 4.3753}",yes,90K+,3145.51,2055.29,654.13,436.09,500.7202
mc_ID_63,"Married Male with three children, education: high school degree working as manual",B14on_WA,"Vegetables from Frozen Foods department, Ordered Brand : Imagine","['Ready Food', 'Bar For Salad']",Shelf Clearing Days,Supermarket,7.36 Millions,3.0176 Millions,14.2307,12.7625,"{'Gross Weight': 14.2307, 'Net Weight': 12.7625, 'Package Weight': 1.4681}",yes,30K+,3687.98,2265.9,853.22,568.75,554.903
mc_ID_64,"Married Female with four children, education: high school degree working as manual",O09ba_VE,"Hygiene from Health and Hygiene department, Ordered Brand : Bird Call","['Bar For Salad', 'Ready Food']",Three for One,,5.55 Millions,2.664 Millions,26.8915,22.5307,"{'Gross Weight': 26.8915, 'Net Weight': 22.5307, 'Package Weight': 4.3608}",no,30K+,3229.37,2448.37,472.27,313.55,656.2604
mc_ID_65,"Single Female with two children, education: graduate degree working as professional",M10da_YU,"Canned Oysters from Canned Foods department, Ordered Brand : Blue Label","['Florist', 'Video Store', 'Bar For Salad', 'Ready Food', 'Coffee Bar']",Three for One,,4.42 Millions,2.1658 Millions,26.4554,23.5482,"{'Gross Weight': 26.4554, 'Net Weight': 23.5482, 'Package Weight': 2.9072}",no,70K+,2863.6,1871.16,595.93,,688.3726
mc_ID_66,"Single Female with two children, education: partial college working as management",T02ma_WA,"Jams and Jellies from Baking Goods department, Ordered Brand : CDR","['Coffee Bar', 'Florist', 'Ready Food', 'Bar For Salad']",Sale : Double Down,,8.64 Millions,3.2832 Millions,16.7163,13.8091,"{'Gross Weight': 16.7163, 'Net Weight': 13.8091, 'Package Weight': 2.9072}",no,30K+,3149.67,2055.29,654.13,436.09,500.7202
mc_ID_67,"Married Female with two children, education: partial college working as skilled manual",C15ho_ZA,"Vegetables from Produce department, Ordered Brand : Ebony","['Florist', 'Bar For Salad', 'Coffee Bar', 'Ready Food']",Two Day Sale,Gourmet,4.38 Millions,1.971 Millions,11.5706,7.2098,"{'Gross Weight': 11.5706, 'Net Weight': 7.2098, 'Package Weight': 4.3608}",yes,30K+,2203.38,,385.45,255.98,486.9653
mc_ID_68,"Single Female with one child, education: partial college working as clerical",A17co_GU,"Dairy from Dairy department, Ordered Brand : Booker",[],Price Slashers,Supermarket,7.96 Millions,3.0248 Millions,30.3801,27.3275,"{'Gross Weight': 30.3801, 'Net Weight': 27.3275, 'Package Weight': 3.0525}",no,30K+,2187.28,1625.43,343.05,227.33,277.0331
